"Date","Time","CO(GT)","PT08.S1(CO)","NMHC(GT)","C6H6(GT)","PT08.S2(NMHC)","NOx(GT)","PT08.S3(NOx)","NO2(GT)","PT08.S4(NO2)","PT08.S5(O3)","T","RH","AH"
"1/1/2005","23:00:00","1.7","1090","-200","5.2","773","222","820","115","1003","1232","5.6","59.7","0.5463"
"1/2/2005","0:00:00","1.8","1078","-200","5.2","775","230","808","112","1012","1195","4.7","62.9","0.5424"
"1/2/2005","1:00:00","1.6","1042","-200","4.3","726","195","875","105","972","1107","4.5","63.5","0.5411"
"1/2/2005","2:00:00","1.3","992","-200","3.6","685","167","916","96","963","1034","4.5","63.6","0.5414"
"1/2/2005","3:00:00","1.3","1004","-200","4.5","739","-200","868","-200","1004","1030","3.1","70.0","0.5388"
"1/2/2005","4:00:00","1.3","947","-200","3.3","673","148","929","87","974","929","3.2","68.3","0.5310"
"1/2/2005","5:00:00","1.1","922","-200","2.7","634","123","984","75","942","875","3.1","69.2","0.5337"
"1/2/2005","6:00:00","1.0","910","-200","2.4","613","148","992","82","934","861","2.4","71.9","0.5288"
"1/2/2005","7:00:00","1.0","924","-200","2.6","629","143","994","83","941","852","3.1","68.7","0.5317"
"1/2/2005","8:00:00","1.2","954","-200","3.4","674","180","940","88","981","891","2.1","73.1","0.5289"
"1/2/2005","9:00:00","1.3","960","-200","3.9","704","226","887","106","1002","947","3.3","68.2","0.5346"
"1/2/2005","10:00:00","1.6","1016","-200","4.9","760","254","835","112","1044","1016","4.1","65.8","0.5451"
"1/2/2005","11:00:00","2.2","1139","-200","7.5","879","372","753","141","1092","1201","6.6","56.6","0.5528"
"1/2/2005","12:00:00","2.2","1130","-200","7.1","860","379","752","148","1058","1218","8.0","51.2","0.5516"
"1/2/2005","13:00:00","2.8","1237","-200","9.6","962","478","684","170","1138","1385","10.3","44.9","0.5612"
"1/2/2005","14:00:00","2.1","1159","-200","6.5","836","344","742","160","1087","1311","12.3","41.7","0.5961"
"1/2/2005","15:00:00","1.6","1124","-200","5.5","790","258","791","137","1070","1206","13.5","41.3","0.6342"
"1/2/2005","16:00:00","2.8","1312","-200","10.5","998","474","640","166","1249","1473","13.4","43.1","0.6600"
"1/2/2005","17:00:00","2.6","1246","-200","8.9","936","438","665","164","1182","1460","9.9","53.3","0.6504"
"1/2/2005","18:00:00","2.8","1232","-200","8.8","930","451","674","166","1171","1626","8.9","54.6","0.6226"
"1/2/2005","19:00:00","2.9","1286","-200","10.5","996","473","644","167","1217","1827","8.9","54.8","0.6244"
"1/2/2005","20:00:00","3.4","1347","-200","13.0","1084","560","582","174","1290","2004","8.3","58.2","0.6391"
"1/2/2005","21:00:00","2.9","-200","-200","-200.0","-200","470","-200","160","-200","-200","-200","-200","-200"
"1/2/2005","22:00:00","3.2","-200","-200","-200.0","-200","506","-200","169","-200","-200","-200","-200","-200"
"1/2/2005","23:00:00","3.1","-200","-200","-200.0","-200","482","-200","162","-200","-200","-200","-200","-200"
"1/3/2005","0:00:00","3.0","-200","-200","-200.0","-200","436","-200","148","-200","-200","-200","-200","-200"
"1/3/2005","1:00:00","3.4","-200","-200","-200.0","-200","472","-200","158","-200","-200","-200","-200","-200"
"1/3/2005","2:00:00","3.0","-200","-200","-200.0","-200","379","-200","143","-200","-200","-200","-200","-200"
"1/3/2005","3:00:00","2.7","-200","-200","-200.0","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1/3/2005","4:00:00","-200","-200","-200","-200.0","-200","286","-200","120","-200","-200","-200","-200","-200"
"1/3/2005","5:00:00","1.1","-200","-200","-200.0","-200","155","-200","92","-200","-200","-200","-200","-200"
"1/3/2005","6:00:00","1.4","-200","-200","-200.0","-200","264","-200","102","-200","-200","-200","-200","-200"
"1/3/2005","7:00:00","1.8","-200","-200","-200.0","-200","366","-200","121","-200","-200","-200","-200","-200"
"1/3/2005","8:00:00","3.6","-200","-200","-200.0","-200","622","-200","164","-200","-200","-200","-200","-200"
"1/3/2005","9:00:00","3.1","-200","-200","-200.0","-200","551","-200","175","-200","-200","-200","-200","-200"
"1/3/2005","10:00:00","1.9","-200","-200","-200.0","-200","349","-200","130","-200","-200","-200","-200","-200"
"1/3/2005","11:00:00","1.7","-200","-200","-200.0","-200","285","-200","117","-200","-200","-200","-200","-200"
"1/3/2005","12:00:00","1.7","-200","-200","-200.0","-200","265","-200","115","-200","-200","-200","-200","-200"
"1/3/2005","13:00:00","1.6","-200","-200","-200.0","-200","222","-200","106","-200","-200","-200","-200","-200"
"1/3/2005","14:00:00","1.6","-200","-200","-200.0","-200","237","-200","102","-200","-200","-200","-200","-200"
"1/3/2005","15:00:00","1.7","-200","-200","-200.0","-200","294","-200","122","-200","-200","-200","-200","-200"
"1/3/2005","16:00:00","2.2","-200","-200","-200.0","-200","329","-200","138","-200","-200","-200","-200","-200"
"1/3/2005","17:00:00","3.3","-200","-200","-200.0","-200","487","-200","162","-200","-200","-200","-200","-200"
"1/3/2005","18:00:00","3.9","-200","-200","-200.0","-200","604","-200","176","-200","-200","-200","-200","-200"
"1/3/2005","19:00:00","5.0","-200","-200","-200.0","-200","728","-200","190","-200","-200","-200","-200","-200"
"1/3/2005","20:00:00","4.2","-200","-200","-200.0","-200","653","-200","182","-200","-200","-200","-200","-200"
"1/3/2005","21:00:00","3.2","-200","-200","-200.0","-200","509","-200","163","-200","-200","-200","-200","-200"
"1/3/2005","22:00:00","1.7","-200","-200","-200.0","-200","277","-200","135","-200","-200","-200","-200","-200"
"1/3/2005","23:00:00","1.5","-200","-200","-200.0","-200","268","-200","130","-200","-200","-200","-200","-200"
"1/4/2005","0:00:00","1.3","-200","-200","-200.0","-200","192","-200","117","-200","-200","-200","-200","-200"
"1/4/2005","1:00:00","1.2","-200","-200","-200.0","-200","167","-200","104","-200","-200","-200","-200","-200"
"1/4/2005","2:00:00","1.3","-200","-200","-200.0","-200","159","-200","97","-200","-200","-200","-200","-200"
"1/4/2005","3:00:00","0.8","-200","-200","-200.0","-200","-200","-200","-200","-200","-200","-200","-200","-200"
"1/4/2005","4:00:00","0.6","-200","-200","-200.0","-200","89","-200","72","-200","-200","-200","-200","-200"
"1/4/2005","5:00:00","0.8","-200","-200","-200.0","-200","97","-200","71","-200","-200","-200","-200","-200"
"1/4/2005","6:00:00","0.9","-200","-200","-200.0","-200","182","-200","94","-200","-200","-200","-200","-200"
"1/4/2005","7:00:00","1.1","-200","-200","-200.0","-200","262","-200","118","-200","-200","-200","-200","-200"
"1/4/2005","8:00:00","3.4","-200","-200","-200.0","-200","561","-200","174","-200","-200","-200","-200","-200"
"1/4/2005","9:00:00","3.6","-200","-200","-200.0","-200","540","-200","170","-200","-200","-200","-200","-200"
"1/4/2005","10:00:00","3.1","-200","-200","-200.0","-200","480","-200","171","-200","-200","-200","-200","-200"
"1/4/2005","11:00:00","3.3","-200","-200","-200.0","-200","608","-200","196","-200","-200","-200","-200","-200"
"1/4/2005","12:00:00","3.4","-200","-200","-200.0","-200","584","-200","191","-200","-200","-200","-200","-200"
"1/4/2005","13:00:00","2.8","-200","-200","-200.0","-200","426","-200","165","-200","-200","-200","-200","-200"
"1/4/2005","14:00:00","2.6","-200","-200","-200.0","-200","397","-200","148","-200","-200","-200","-200","-200"
"1/4/2005","15:00:00","3.0","-200","-200","-200.0","-200","473","-200","172","-200","-200","-200","-200","-200"
"1/4/2005","16:00:00","2.9","-200","-200","-200.0","-200","368","-200","165","-200","-200","-200","-200","-200"
"1/4/2005","17:00:00","3.8","-200","-200","-200.0","-200","532","-200","184","-200","-200","-200","-200","-200"
"1/4/2005","18:00:00","3.8","-200","-200","-200.0","-200","498","-200","173","-200","-200","-200","-200","-200"
"1/4/2005","19:00:00","3.6","-200","-200","-200.0","-200","487","-200","174","-200","-200","-200","-200","-200"
"1/4/2005","20:00:00","4.5","-200","-200","-200.0","-200","629","-200","181","-200","-200","-200","-200","-200"
"1/4/2005","21:00:00","3.7","-200","-200","-200.0","-200","502","-200","166","-200","-200","-200","-200","-200"
"1/4/2005","22:00:00","2.4","-200","-200","-200.0","-200","381","-200","150","-200","-200","-200","-200","-200"
"1/4/2005","23:00:00","1.7","-200","-200","-200.0","-200","250","-200","131","-200","-200","-200","-200","-200"
"1/5/2005","0:00:00","1.7","-200","-200","-200.0","-200","266","-200","129","-200","-200","-200","-200","-200"
"1/5/2005","1:00:00","1.7","1135","-200","5.6","792","226","727","120","1170","1151","9.5","69.5","0.8261"
"1/5/2005","2:00:00","1.9","1188","-200","8.1","901","259","657","119","1261","1185","9.1","70.9","0.8176"
"1/5/2005","3:00:00","2.0","1242","-200","8.5","921","-200","626","-200","1218","1374","8.1","72.1","0.7798"
"1/5/2005","4:00:00","2.0","1219","-200","7.7","889","260","649","110","1186","1405","7.9","72.1","0.7679"
"1/5/2005","5:00:00","1.7","1187","-200","6.8","850","242","653","109","1169","1382","7.6","72.7","0.7598"
"1/5/2005","6:00:00","1.8","1224","-200","8.1","904","267","644","110","1194","1460","7.5","71.7","0.7439"
"1/5/2005","7:00:00","2.2","1333","-200","11.1","1018","411","576","126","1275","1612","7.9","70.6","0.7562"
"1/5/2005","8:00:00","3.7","1488","-200","16.4","1193","670","496","148","1475","1776","8.6","69.0","0.7732"
"1/5/2005","9:00:00","4.8","1596","-200","21.6","1341","830","436","162","1672","1990","9.1","67.5","0.7831"
"1/5/2005","10:00:00","4.8","1584","-200","19.3","1277","844","456","173","1567","1944","9.8","65.8","0.7967"
"1/5/2005","11:00:00","5.2","1674","-200","22.9","1376","992","438","198","1643","2098","11.2","61.9","0.8226"
"1/5/2005","12:00:00","5.9","1741","-200","25.3","1438","1130","416","219","1740","2159","12.8","60.1","0.8820"
"1/5/2005","13:00:00","5.9","1680","-200","25.2","1434","977","417","206","1790","2005","13.4","62.4","0.9513"
"1/5/2005","14:00:00","3.1","1295","-200","13.2","1090","459","552","155","1479","1440","14.3","61.2","0.9941"
"1/5/2005","15:00:00","2.6","1288","-200","13.9","1112","346","560","150","1492","1380","14.6","59.6","0.9824"
"1/5/2005","16:00:00","2.8","1281","-200","13.8","1111","383","553","148","1483","1408","14.2","60.0","0.9684"
"1/5/2005","17:00:00","2.8","1310","-200","13.5","1099","414","558","158","1481","1445","13.8","62.6","0.9862"
"1/5/2005","18:00:00","2.8","1276","-200","13.5","1099","370","559","152","1504","1388","13.6","64.0","0.9891"
"1/5/2005","19:00:00","3.1","1312","-200","15.0","1148","400","532","148","1525","1410","13.4","64.5","0.9865"
"1/5/2005","20:00:00","3.3","1332","-200","14.9","1146","378","539","147","1522","1377","13.5","64.7","0.9971"
"1/5/2005","21:00:00","2.7","1248","-200","11.9","1046","357","588","144","1404","1316","13.4","65.3","0.9967"
"1/5/2005","22:00:00","2.3","1182","-200","9.2","947","333","643","144","1334","1210","13.2","64.5","0.9732"
"1/5/2005","23:00:00","1.6","1059","-200","6.0","810","227","764","126","1200","1002","13.2","62.2","0.9392"
"1/6/2005","0:00:00","1.6","1056","-200","5.6","795","203","782","115","1187","896","12.5","63.7","0.9196"
"1/6/2005","1:00:00","1.7","1064","-200","5.4","785","210","769","116","1184","946","12.3","64.6","0.9229"
"1/6/2005","2:00:00","1.6","1059","-200","5.4","783","198","781","112","1188","877","12.5","63.8","0.9244"
"1/6/2005","3:00:00","1.4","991","-200","3.5","681","-200","874","-200","1125","718","12.6","62.7","0.9121"
"1/6/2005","4:00:00","-200","950","-200","2.5","622","89","960","67","1093","642","12.0","64.6","0.9060"
"1/6/2005","5:00:00","0.9","1005","-200","3.4","679","89","874","67","1120","744","10.7","69.5","0.8919"
"1/6/2005","6:00:00","0.8","939","-200","1.8","568","101","1037","72","1054","656","12.4","62.6","0.8994"
"1/6/2005","7:00:00","0.7","961","-200","2.6","629","104","1011","69","1114","682","12.3","62.7","0.8947"
"1/6/2005","8:00:00","1.1","1017","-200","4.0","712","192","826","107","1147","829","11.4","66.6","0.8948"
"1/6/2005","9:00:00","1.5","1108","-200","6.2","822","236","720","117","1246","961","11.1","70.2","0.9276"
"1/6/2005","10:00:00","1.5","1122","-200","5.8","803","210","733","115","1225","960","13.4","61.0","0.9348"
"1/6/2005","11:00:00","1.6","1099","-200","6.3","826","230","739","120","1223","940","15.9","52.2","0.9377"
"1/6/2005","12:00:00","1.6","1124","-200","5.9","805","240","726","128","1233","938","15.6","54.0","0.9515"
"1/6/2005","13:00:00","2.0","1186","-200","8.5","921","295","660","138","1310","1040","16.3","51.5","0.9462"
"1/6/2005","14:00:00","1.7","1096","-200","6.2","819","243","732","127","1238","904","16.5","50.8","0.9442"
"1/6/2005","15:00:00","1.5","1120","-200","6.4","829","196","725","111","1259","910","16.3","51.9","0.9535"
"1/6/2005","16:00:00","2.0","1185","-200","7.9","893","237","666","122","1312","1011","16.2","53.0","0.9687"
"1/6/2005","17:00:00","1.9","1173","-200","7.7","885","274","685","134","1288","1038","15.6","54.8","0.9660"
"1/6/2005","18:00:00","2.1","1221","-200","8.9","935","352","642","153","1323","1144","14.5","57.5","0.9440"
"1/6/2005","19:00:00","2.8","1330","-200","12.4","1063","488","578","169","1418","1352","14.0","60.1","0.9566"
"1/6/2005","20:00:00","2.7","1325","-200","11.3","1026","426","590","162","1394","1365","13.5","63.0","0.9686"
"1/6/2005","21:00:00","2.4","1195","-200","8.4","915","376","666","152","1294","1245","12.6","65.4","0.9529"
"1/6/2005","22:00:00","1.6","1150","-200","7.3","869","237","694","127","1252","1203","12.0","67.5","0.9413"
"1/6/2005","23:00:00","1.7","1144","-200","5.9","806","198","736","112","1207","1120","10.5","72.0","0.9120"
"1/7/2005","0:00:00","1.3","1041","-200","4.3","729","164","819","98","1130","972","10.0","70.9","0.8706"
"1/7/2005","1:00:00","1.4","1032","-200","3.6","686","142","867","89","1109","878","9.8","70.7","0.8571"
"1/7/2005","2:00:00","1.2","1010","-200","3.1","661","142","881","82","1100","852","8.0","75.0","0.8098"
"1/7/2005","3:00:00","1.0","951","-200","2.5","620","-200","938","-200","1076","779","7.9","75.1","0.8050"
"1/7/2005","4:00:00","1.0","944","-200","2.5","617","127","944","77","1038","766","7.0","77.3","0.7782"
"1/7/2005","5:00:00","0.6","862","-200","1.4","540","73","1110","55","999","670","7.2","74.4","0.7581"
"1/7/2005","6:00:00","0.7","909","-200","1.8","566","100","1049","63","993","694","6.7","75.0","0.7418"
"1/7/2005","7:00:00","1.0","965","-200","3.1","659","126","973","69","1058","739","6.4","76.2","0.7389"
"1/7/2005","8:00:00","1.7","1102","-200","7.6","884","284","719","99","1218","940","6.0","78.5","0.7377"
"1/7/2005","9:00:00","3.0","1226","-200","15.3","1156","418","552","125","1464","1201","6.3","77.4","0.7452"
"1/7/2005","10:00:00","2.4","1132","-200","9.3","950","432","659","123","1253","1106","7.7","73.8","0.7769"
"1/7/2005","11:00:00","2.2","1183","-200","11.0","1013","310","632","128","1306","1186","10.2","61.5","0.7638"
"1/7/2005","12:00:00","2.6","1210","-200","10.6","998","446","605","149","1298","1302","11.2","58.1","0.7743"
"1/7/2005","13:00:00","2.5","1252","-200","11.4","1030","464","590","137","1351","1368","10.6","62.3","0.7981"
"1/7/2005","14:00:00","3.0","1311","-200","13.1","1088","505","563","147","1402","1452","11.1","62.0","0.8199"
"1/7/2005","15:00:00","3.3","1340","-200","14.8","1142","564","536","168","1454","1537","12.6","57.7","0.8387"
"1/7/2005","16:00:00","3.8","1432","-200","16.5","1194","625","508","180","1513","1651","13.3","56.2","0.8548"
"1/7/2005","17:00:00","3.6","1404","-200","16.5","1195","590","499","170","1500","1623","11.2","65.2","0.8639"
"1/7/2005","18:00:00","5.0","1493","-200","21.5","1337","712","466","180","1638","1742","8.8","74.6","0.8434"
"1/7/2005","19:00:00","5.7","1478","-200","22.2","1356","722","473","178","1652","1639","7.2","78.5","0.8030"
"1/7/2005","20:00:00","5.0","1411","-200","20.5","1311","707","487","159","1588","1537","6.5","80.0","0.7789"
"1/7/2005","21:00:00","4.8","1386","-200","17.7","1231","736","523","156","1487","1463","5.8","83.8","0.7768"
"1/7/2005","22:00:00","3.9","1306","-200","15.4","1161","646","557","146","1407","1379","5.5","83.5","0.7619"
"1/7/2005","23:00:00","3.3","1232","-200","11.6","1035","536","622","132","1296","1256","5.8","81.3","0.7568"
"1/8/2005","0:00:00","3.4","1277","-200","13.0","1085","567","589","137","1328","1344","5.4","82.6","0.7495"
"1/8/2005","1:00:00","2.4","1062","-200","6.7","843","357","762","114","1125","1089","6.4","76.3","0.7369"
"1/8/2005","2:00:00","1.4","991","-200","4.6","744","187","862","95","1069","948","7.0","73.6","0.7417"
"1/8/2005","3:00:00","1.4","989","-200","3.8","701","-200","871","-200","1048","932","7.2","72.3","0.7392"
"1/8/2005","4:00:00","1.2","972","-200","3.4","674","169","926","88","1032","882","7.9","69.3","0.7413"
"1/8/2005","5:00:00","1.2","973","-200","3.4","675","184","903","94","1029","904","7.4","71.7","0.7434"
"1/8/2005","6:00:00","1.2","985","-200","3.6","690","204","878","97","1056","902","7.7","71.9","0.7575"
"1/8/2005","7:00:00","1.3","1020","-200","4.5","736","212","854","93","1069","922","8.1","68.0","0.7396"
"1/8/2005","8:00:00","2.3","1192","-200","10.0","978","415","638","113","1273","1210","6.7","77.1","0.7597"
"1/8/2005","9:00:00","3.4","1325","-200","14.7","1140","583","542","126","1402","1468","6.8","77.9","0.7756"
"1/8/2005","10:00:00","3.0","1219","-200","11.3","1026","462","604","133","1311","1329","8.9","66.7","0.7634"
"1/8/2005","11:00:00","2.5","1195","-200","10.4","992","387","632","141","1251","1294","11.6","54.1","0.7387"
"1/8/2005","12:00:00","2.7","1230","-200","11.2","1020","414","605","139","1301","1364","13.5","49.4","0.7598"
"1/8/2005","13:00:00","2.8","1312","-200","13.1","1087","440","566","147","1393","1452","13.8","50.9","0.7960"
"1/8/2005","14:00:00","3.6","1387","-200","14.3","1126","516","530","175","1430","1614","13.4","55.9","0.8588"
"1/8/2005","15:00:00","3.1","1375","-200","12.8","1076","495","554","180","1376","1599","12.9","59.0","0.8736"
"1/8/2005","16:00:00","4.3","1532","-200","18.9","1265","643","482","194","1578","1776","13.3","59.0","0.8945"
"1/8/2005","17:00:00","4.6","1531","-200","17.9","1235","725","484","192","1541","1742","13.0","61.9","0.9224"
"1/8/2005","18:00:00","4.3","1479","-200","16.5","1196","683","498","188","1510","1738","12.5","63.6","0.9193"
"1/8/2005","19:00:00","4.3","1521","-200","16.9","1208","681","497","179","1549","1770","12.2","65.8","0.9310"
"1/8/2005","20:00:00","5.5","1616","-200","22.4","1363","833","442","196","1700","1918","12.6","65.2","0.9474"
"1/8/2005","21:00:00","3.4","1371","-200","13.6","1105","514","552","169","1428","1580","13.3","63.6","0.9681"
"1/8/2005","22:00:00","2.4","1198","-200","9.1","942","371","647","151","1307","1291","13.5","62.6","0.9644"
"1/8/2005","23:00:00","1.6","1102","-200","6.0","812","212","764","123","1204","1000","14.1","59.6","0.9563"
"1/9/2005","0:00:00","1.7","1120","-200","6.3","826","242","750","127","1222","974","14.0","61.4","0.9773"
"1/9/2005","1:00:00","1.6","1093","-200","5.5","789","241","771","127","1206","949","13.5","63.4","0.9755"
"1/9/2005","2:00:00","1.3","1112","-200","5.6","791","218","764","118","1216","934","13.2","64.2","0.9706"
"1/9/2005","3:00:00","0.8","986","-200","3.4","674","-200","883","-200","1137","730","13.6","62.2","0.9643"
"1/9/2005","4:00:00","-200","934","-200","2.3","609","70","976","54","1094","580","13.7","61.1","0.9537"
"1/9/2005","5:00:00","0.6","918","-200","1.8","571","54","1016","44","1082","521","13.5","63.8","0.9801"
"1/9/2005","6:00:00","0.6","929","-200","1.6","556","60","1035","46","1094","575","12.5","67.3","0.9743"
"1/9/2005","7:00:00","0.5","919","-200","1.6","552","55","1063","46","1080","522","13.2","64.2","0.9664"
"1/9/2005","8:00:00","0.6","944","-200","2.0","586","93","976","61","1090","586","13.1","63.4","0.9535"
"1/9/2005","9:00:00","0.7","943","-200","1.9","580","80","980","60","1074","566","13.8","60.5","0.9526"
"1/9/2005","10:00:00","0.9","1036","-200","3.5","683","109","846","71","1144","693","13.7","60.4","0.9390"
"1/9/2005","11:00:00","1.5","1168","-200","5.7","797","251","698","111","1235","1022","14.0","59.7","0.9495"
"1/9/2005","12:00:00","1.9","1232","-200","8.1","902","284","626","127","1313","1152","15.0","56.2","0.9539"
"1/9/2005","13:00:00","1.9","1236","-200","8.1","901","262","628","128","1311","1108","16.9","50.9","0.9714"
"1/9/2005","14:00:00","2.2","1278","-200","12.6","1070","256","557","142","1478","1110","16.6","52.4","0.9810"
"1/9/2005","15:00:00","3.8","1369","-200","18.1","1242","310","476","145","1669","1306","16.4","53.2","0.9826"
"1/9/2005","16:00:00","2.0","1182","-200","8.7","929","268","648","145","1324","1029","16.1","52.8","0.9579"
"1/9/2005","17:00:00","2.2","1210","-200","8.8","932","348","648","156","1327","1094","15.7","54.4","0.9616"
"1/9/2005","18:00:00","3.3","1316","-200","14.1","1121","396","548","154","1488","1282","15.4","55.3","0.9616"
"1/9/2005","19:00:00","2.7","1221","-200","9.3","952","432","641","165","1334","1147","15.2","54.7","0.9362"
"1/9/2005","20:00:00","2.6","1260","-200","11.6","1034","419","588","153","1402","1208","14.7","56.6","0.9392"
"1/9/2005","21:00:00","2.5","1231","-200","9.6","962","412","624","151","1348","1192","14.4","58.2","0.9495"
"1/9/2005","22:00:00","1.5","1114","-200","5.8","804","223","734","131","1220","1136","14.3","59.2","0.9608"
"1/9/2005","23:00:00","1.9","1180","-200","7.5","877","242","680","128","1297","1131","14.0","60.4","0.9622"
"1/10/2005","0:00:00","2.0","1174","-200","7.4","872","288","672","137","1300","1070","13.7","63.6","0.9912"
"1/10/2005","1:00:00","1.7","1178","-200","7.4","876","209","666","119","1319","1059","13.1","68.7","1.0329"
"1/10/2005","2:00:00","1.2","1052","-200","3.9","704","141","807","96","1210","909","13.2","69.9","1.0526"
"1/10/2005","3:00:00","0.9","998","-200","2.1","591","-200","937","-200","1147","820","12.8","71.2","1.0454"
"1/10/2005","4:00:00","0.6","960","-200","1.3","532","66","1059","60","1122","724","12.9","70.4","1.0444"
"1/10/2005","5:00:00","-200.0","958","-200","1.8","571","64","998","54","1138","706","12.4","72.5","1.0411"
"1/10/2005","6:00:00","-200.0","989","-200","3.0","650","104","900","66","1170","768","13.0","70.3","1.0502"
"1/10/2005","7:00:00","0.4","1162","-200","6.7","843","303","684","104","1336","1027","12.3","73.2","1.0448"
"1/10/2005","8:00:00","2.6","1523","-200","21.0","1324","620","451","137","1776","1502","12.8","71.8","1.0551"
"1/10/2005","9:00:00","3.5","1511","-200","21.4","1334","590","432","146","1804","1606","13.1","70.2","1.0567"
"1/10/2005","10:00:00","2.1","1420","-200","16.1","1183","592","488","136","1626","1520","12.8","71.8","1.0551"
"1/10/2005","11:00:00","2.1","1413","-200","16.4","1193","698","484","144","1598","1566","13.1","70.2","1.0566"
"1/10/2005","12:00:00","1.7","1334","-200","14.8","1141","482","512","133","1536","1501","13.7","67.0","1.0446"
"1/10/2005","13:00:00","2.6","1451","-200","20.1","1298","575","452","148","1744","1634","14.0","65.4","1.0427"
"1/10/2005","14:00:00","2.6","1410","-200","19.3","1276","548","459","155","1700","1586","14.4","63.8","1.0421"
"1/10/2005","15:00:00","2.4","1429","-200","19.3","1276","498","456","152","1721","1560","14.1","65.9","1.0531"
"1/10/2005","16:00:00","2.4","1409","-200","17.4","1223","479","474","145","1640","1538","14.1","65.9","1.0552"
"1/10/2005","17:00:00","2.0","1372","-200","17.0","1210","420","484","139","1629","1490","14.1","66.0","1.0539"
"1/10/2005","18:00:00","2.0","1366","-200","17.1","1212","378","488","134","1611","1469","14.0","66.4","1.0536"
"1/10/2005","19:00:00","3.1","1365","-200","16.4","1192","340","492","128","1592","1486","13.8","66.4","1.0451"
"1/10/2005","20:00:00","3.3","1385","-200","17.3","1218","398","478","135","1620","1494","13.4","68.1","1.0441"
"1/10/2005","21:00:00","3.3","1361","-200","14.6","1137","449","503","136","1526","1471","13.2","69.1","1.0452"
"1/10/2005","22:00:00","2.6","1312","-200","11.9","1047","374","545","126","1430","1399","13.0","70.0","1.0420"
"1/10/2005","23:00:00","1.7","1177","-200","7.3","870","244","660","116","1292","1192","12.7","69.9","1.0223"
"1/11/2005","0:00:00","1.8","1204","-200","7.7","888","256","646","116","1292","1187","12.0","71.9","1.0071"
"1/11/2005","1:00:00","1.5","1114","-200","4.9","757","212","744","107","1204","1070","13.2","66.8","1.0087"
"1/11/2005","2:00:00","1.1","1047","-200","3.9","708","146","816","91","1167","949","12.4","69.5","0.9986"
"1/11/2005","3:00:00","0.9","982","-200","2.1","592","-200","952","-200","1106","830","13.1","65.7","0.9858"
"1/11/2005","4:00:00","0.7","992","-200","2.9","644","96","899","70","1128","854","11.8","70.6","0.9731"
"1/11/2005","5:00:00","0.7","977","-200","2.6","628","106","908","78","1129","835","12.3","68.0","0.9734"
"1/11/2005","6:00:00","0.9","1047","-200","3.3","670","115","863","75","1147","886","12.0","69.2","0.9697"
